Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2023,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),513.99,377.65,483.67,225.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,Merchandise Imports_Non-Oil (Millions of US Dollars),702.65,635.14,743.27,762.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,Merchandise Imports_Oil & Gas  (Millions of US Dollars),303.89,308.19,297.82,294.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,Merchandise Imports (f.o.b) (Millions of US Dollars),1006.53,943.33,1041.09,1057.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,Merchandise Exports_Other Exports  (Millions of US Dollars),215.02,256.76,279.24,259.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,Merchandise Exports_Crude Oil (Millions of US Dollars),322.78,228.55,301.19,318.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,Merchandise Exports_Cocoa Products (Millions of US Dollars),81.49,77.11,90.75,51.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),11.55,10.45,10.07,11.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),331.39,224.13,218.86,176.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,Merchandise Exports_Gold (Millions of US Dollars),558.28,523.98,624.65,465.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,Merchandise Exports (f.o.b) (Millions of US Dollars),1520.53,1320.98,1524.76,1282.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,Merchandise Exports_Other Exports  (Millions of US Dollars),236.80,223.55,314.69,263.18,233.23,239.74,269.26,242.48,254.29,209.56,252.68,245.49
2022,Merchandise Imports (f.o.b) (Millions of US Dollars),1135.17,1147.81,1261.94,1159.53,1328.37,1369.91,1530.28,1331.24,1218.56,1026.36,1036.75,1107.05
2022,Merchandise Imports_Non-Oil (Millions of US Dollars),888.66,799.84,877.67,851.93,879.82,886.31,950.00,880.39,761.77,718.35,701.27,798.06
2022,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),83.36,122.49,666.99,280.31,115.93,205.26,67.06,149.30,40.56,261.58,444.36,450.75
2022,Merchandise Imports_Oil & Gas  (Millions of US Dollars),246.51,347.97,384.27,307.60,448.55,483.60,580.28,450.84,456.79,308.01,335.48,308.99
2022,Merchandise Exports_Crude Oil (Millions of US Dollars),328.87,359.90,651.66,510.33,431.98,550.74,520.20,474.09,342.59,443.73,422.08,392.45
2022,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),11.37,10.45,11.87,14.23,13.99,12.95,16.47,16.29,13.19,12.08,12.12,10.45
2022,Merchandise Exports_Cocoa Products (Millions of US Dollars),77.64,80.00,87.71,71.37,88.64,103.98,83.90,83.21,65.93,64.57,79.92,100.04
2022,Merchandise Exports (f.o.b) (Millions of US Dollars),1218.52,1270.30,1928.93,1439.84,1444.30,1575.17,1463.22,1480.54,1259.12,1287.93,1481.12,1557.80
2022,Merchandise Exports_Gold (Millions of US Dollars),392.87,431.68,549.07,500.66,563.28,587.82,550.11,651.24,575.04,530.31,627.34,649.00
2022,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),170.97,164.72,313.93,80.08,113.19,79.93,23.28,13.23,8.09,27.68,86.98,160.36
2021,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),219.89,212.81,199.71,145.60,20.86,88.00,35.98,30.48,87.71,41.25,7.90,69.73
2021,Merchandise Imports_Non-Oil (Millions of US Dollars),921.05,902.34,969.91,873.89,971.66,905.99,949.06,841.12,863.04,865.89,932.45,912.94
2021,Merchandise Imports_Oil & Gas  (Millions of US Dollars),214.39,124.08,197.47,228.76,248.78,204.07,230.41,219.72,193.23,219.50,358.94,279.81
2021,Merchandise Imports (f.o.b) (Millions of US Dollars),1135.44,1026.42,1167.38,1102.65,1220.44,1110.06,1179.47,1060.84,1056.27,1085.40,1291.40,1192.75
2021,Merchandise Exports_Other Exports  (Millions of US Dollars),197.11,227.12,257.63,217.50,213.15,240.57,198.64,227.33,212.98,272.28,212.30,219.50
2021,Merchandise Exports_Crude Oil (Millions of US Dollars),268.01,242.20,326.00,313.33,328.52,279.02,417.23,261.37,354.54,318.52,478.61,360.38
2021,Merchandise Exports_Cocoa Products (Millions of US Dollars),84.50,84.71,83.81,85.39,78.28,100.87,110.40,96.15,107.63,83.56,80.47,74.93
2021,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),12.54,15.00,16.41,15.29,13.53,12.34,13.36,12.71,12.53,11.87,13.12,13.26
2021,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),285.55,246.64,236.51,186.46,200.73,113.86,91.33,56.68,48.99,59.24,81.51,160.36
2021,Merchandise Exports_Gold (Millions of US Dollars),507.62,423.57,446.73,430.28,407.10,451.38,384.49,376.13,407.32,381.19,433.30,434.05
2021,Merchandise Exports (f.o.b) (Millions of US Dollars),1355.33,1239.22,1367.09,1248.25,1241.30,1198.05,1215.45,1030.36,1143.98,1126.65,1299.30,1262.48
2020,Merchandise Imports_Oil & Gas  (Millions of US Dollars),215.11,159.66,175.83,118.94,127.03,120.17,163.40,123.85,136.47,215.76,169.43,164.88
2020,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),308.90,482.13,58.03,157.24,68.38,69.21,118.58,234.04,198.34,129.83,35.55,392.27
2020,Merchandise Imports_Non-Oil (Millions of US Dollars),913.06,722.72,854.60,972.83,883.74,1126.85,769.50,824.35,834.18,873.28,1021.91,741.01
2020,Merchandise Imports (f.o.b) (Millions of US Dollars),1128.18,882.37,1030.43,1091.77,1010.77,1247.02,932.91,948.21,970.65,1089.04,1191.33,905.88
2020,Merchandise Exports_Other Exports  (Millions of US Dollars),189.08,208.86,222.52,203.55,163.83,211.96,205.84,166.68,169.97,217.94,175.62,163.80
2020,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),10.18,9.40,9.93,6.07,6.43,7.67,12.78,13.14,16.85,12.73,12.87,15.95
2020,Merchandise Exports_Crude Oil (Millions of US Dollars),315.11,366.70,108.15,226.56,162.94,241.82,208.38,298.94,277.27,201.72,211.80,291.23
2020,Merchandise Exports_Cocoa Products (Millions of US Dollars),84.59,72.40,79.46,105.14,67.04,97.89,78.09,67.62,30.05,40.34,63.93,61.41
2020,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),322.38,236.96,180.42,119.78,110.05,66.44,22.10,10.36,2.47,21.46,160.86,226.93
2020,Merchandise Exports_Gold (Millions of US Dollars),515.74,470.17,487.99,587.91,568.87,552.01,524.29,625.51,672.38,724.68,530.70,538.84
2020,Merchandise Exports (f.o.b) (Millions of US Dollars),1437.07,1364.50,1088.46,1249.01,1079.15,1177.81,1051.48,1182.25,1168.99,1218.87,1155.78,1298.16
2019,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),85.48,292.75,264.17,393.31,142.54,176.59,9.19,75.31,108.99,38.33,342.36,422.85
2019,Merchandise Imports_Oil & Gas  (Millions of US Dollars),193.51,222.46,259.97,190.92,168.18,239.42,240.25,216.58,147.78,276.29,150.04,114.85
2019,Merchandise Imports_Non-Oil (Millions of US Dollars),1063.33,807.98,827.86,743.29,1098.74,876.94,1082.71,917.44,885.73,1030.36,789.41,866.65
2019,Merchandise Imports (f.o.b) (Millions of US Dollars),1256.84,1030.44,1087.83,934.21,1266.92,1116.36,1322.96,1134.02,1033.51,1306.66,939.44,981.50
2019,Merchandise Exports_Other Exports  (Millions of US Dollars),307.31,236.79,308.01,312.26,327.00,267.50,331.53,230.15,243.56,260.04,256.62,243.63
2019,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),13.90,18.07,15.51,12.14,15.06,12.88,14.03,18.08,11.11,15.28,11.97,10.98
2019,Merchandise Exports_Crude Oil (Millions of US Dollars),348.27,381.70,324.13,348.64,470.09,416.91,443.50,339.86,352.36,404.21,361.29,302.11
2019,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),215.52,211.46,200.96,135.89,92.65,77.73,14.93,1.70,8.10,20.94,177.56,293.93
2019,Merchandise Exports_Gold (Millions of US Dollars),457.32,475.18,503.40,518.57,504.68,517.93,509.79,619.54,527.38,567.85,474.35,553.71
2019,Merchandise Exports (f.o.b) (Millions of US Dollars),1342.32,1323.19,1352.01,1327.51,1409.47,1292.96,1313.77,1209.33,1142.50,1268.32,1281.80,1404.35
2018,Merchandise Imports_Oil & Gas  (Millions of US Dollars),210.82,176.10,273.51,246.13,249.69,152.91,222.48,165.28,200.62,303.36,164.20,215.81
2018,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),253.45,259.87,212.79,301.78,239.70,10.13,3.78,141.45,162.18,52.74,200.39,1.80
2018,Merchandise Imports_Non-Oil (Millions of US Dollars),969.67,855.75,848.63,834.77,915.21,866.91,862.15,900.94,815.30,858.29,941.91,883.63
2018,Merchandise Imports (f.o.b) (Millions of US Dollars),1180.48,1031.85,1122.14,1080.89,1164.90,1019.82,1084.64,1066.22,1015.93,1161.64,1106.11,1099.44
2018,Merchandise Exports_Other Exports  (Millions of US Dollars),275.81,271.97,299.43,324.57,328.87,240.62,231.71,239.09,274.75,285.94,273.49,259.41
2018,Merchandise Exports_Crude Oil (Millions of US Dollars),400.05,264.84,387.87,409.76,448.45,220.77,358.17,427.99,460.51,466.57,390.91,337.51
2018,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),232.69,254.93,178.73,137.87,81.43,60.83,30.02,16.20,12.92,18.61,168.36,213.86
2018,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),23.61,19.23,20.44,22.46,19.57,19.50,14.61,19.05,13.81,16.21,16.53,16.44
2018,Merchandise Exports_Gold (Millions of US Dollars),501.78,480.75,448.46,488.00,526.28,467.97,446.34,505.34,416.12,427.05,457.21,270.42
2018,Merchandise Exports (f.o.b) (Millions of US Dollars),1433.93,1291.72,1334.93,1382.67,1404.60,1009.69,1080.85,1207.67,1178.11,1214.39,1306.50,1097.65
2017,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),246.42,252.36,413.84,251.34,107.13,142.34,84.80,178.24,87.88,47.01,231.74,225.11
2017,Merchandise Imports_Non-Oil (Millions of US Dollars),871.93,754.67,846.48,708.97,881.18,936.69,842.35,1022.36,907.05,960.25,982.11,941.16
2017,Merchandise Imports_Oil & Gas  (Millions of US Dollars),187.76,221.09,159.81,191.84,158.63,150.42,138.78,185.50,144.15,137.84,127.48,188.85
2017,Merchandise Imports (f.o.b) (Millions of US Dollars),1059.70,975.76,1006.29,900.82,1039.81,1087.11,981.12,1207.86,1051.20,1098.09,1109.59,1130.01
2017,Merchandise Exports_Other Exports  (Millions of US Dollars),198.22,215.93,289.49,214.68,261.21,242.07,228.62,246.70,197.17,236.70,260.27,224.22
2017,Merchandise Exports_Crude Oil (Millions of US Dollars),161.16,217.67,253.70,212.77,188.05,209.19,184.97,304.14,271.33,311.23,421.37,379.54
2017,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),18.81,12.54,10.71,10.35,14.72,22.67,13.34,17.52,17.58,23.67,27.00,26.05
2017,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),319.35,218.42,276.74,276.85,214.06,113.41,36.76,14.77,8.64,15.45,151.83,257.20
2017,Merchandise Exports_Gold (Millions of US Dollars),608.57,563.57,589.47,437.50,468.89,357.43,432.63,446.49,468.60,464.04,480.85,468.11
2017,Merchandise Exports (f.o.b) (Millions of US Dollars),1306.12,1228.12,1420.13,1152.15,1146.94,944.77,896.32,1029.61,963.32,1051.08,1341.33,1355.12
2016,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),247.86,149.42,278.74,259.65,299.72,164.81,278.29,165.10,26.88,191.48,4.37,222.05
2016,Merchandise Imports_Oil & Gas  (Millions of US Dollars),141.55,131.87,143.45,142.81,189.22,153.36,194.61,152.80,182.87,144.61,133.80,123.94
2016,Merchandise Imports_Non-Oil (Millions of US Dollars),983.38,899.33,992.99,865.79,989.18,906.41,958.32,1008.11,791.44,935.53,887.93,866.81
2016,Merchandise Imports (f.o.b) (Millions of US Dollars),1124.93,1031.20,1136.44,1008.60,1178.40,1059.77,1152.93,1160.91,974.31,1080.14,1021.73,990.74
2016,Merchandise Exports_Other Exports  (Millions of US Dollars),180.24,223.62,219.63,221.43,272.01,226.98,212.72,245.88,220.30,242.87,225.94,203.02
2016,Merchandise Exports_Crude Oil (Millions of US Dollars),92.07,120.24,0.00,0.00,48.10,147.85,89.91,184.84,89.82,222.95,140.68,208.75
2016,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),17.52,19.17,19.06,30.74,21.19,21.68,23.14,23.83,23.19,20.34,14.91,20.95
2016,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),325.04,248.95,228.98,161.39,148.60,87.55,78.51,21.93,0.72,16.50,272.75,332.38
2016,Merchandise Exports_Gold (Millions of US Dollars),262.19,269.79,390.02,335.40,388.78,410.90,470.36,519.34,667.15,386.01,371.82,447.70
2016,Merchandise Exports (f.o.b) (Millions of US Dollars),877.07,881.79,857.70,748.95,878.69,894.96,874.64,995.82,1001.19,888.67,1026.10,1212.79
2015,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),125.70,39.95,218.96,158.08,232.19,166.92,431.58,404.82,389.55,665.00,122.22,188.85
2015,Merchandise Imports_Non-Oil (Millions of US Dollars),1019.60,877.51,908.18,972.00,837.52,866.33,971.29,965.39,952.47,1212.20,903.96,932.00
2015,Merchandise Imports_Oil & Gas  (Millions of US Dollars),150.83,134.24,176.74,196.25,225.32,174.36,187.50,217.23,133.40,184.68,140.83,125.33
2015,Merchandise Imports (f.o.b) (Millions of US Dollars),1170.43,1011.75,1084.92,1168.25,1062.84,1040.69,1158.79,1182.62,1085.87,1396.88,1044.79,1057.33
2015,Merchandise Exports_Other Exports  (Millions of US Dollars),233.84,264.68,274.25,264.33,288.36,260.91,242.74,266.01,201.41,251.41,205.93,243.75
2015,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),15.92,15.31,17.76,17.76,15.32,17.46,19.10,16.95,15.79,18.91,15.99,22.65
2015,Merchandise Exports_Crude Oil (Millions of US Dollars),145.98,150.45,148.70,242.18,181.07,227.87,102.12,181.69,134.23,138.49,171.27,107.23
2015,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),301.83,257.85,238.19,179.08,109.65,74.89,93.25,49.75,49.65,55.26,291.39,270.14
2015,Merchandise Exports_Gold (Millions of US Dollars),347.16,283.51,187.06,306.82,236.25,292.66,269.99,263.40,295.23,267.81,238.00,224.71
2015,Merchandise Exports (f.o.b) (Millions of US Dollars),1044.72,971.80,865.96,1010.16,830.65,873.77,727.21,777.80,696.32,731.88,922.57,868.48
